session,station_id,no_of_tokens,start_time,burn_time,mint_time,mint_latency,full_cycle_latency,sep_gas_eth,bsc_gas_bnb,lz_fee_eth,ack_fee_bnb,status
1749824559,STATION1,42,2025-06-13T14:22:39.963Z,2025-06-13T14:25:00.000Z,2025-06-13T14:23:59.000Z,59,120,0.000000642496211541,0.001326534,0.000441961327558181,0.000454793439197208,Success
1749824708,STATION2,12,2025-06-13T14:25:08.403Z,2025-06-13T14:27:12.000Z,2025-06-13T14:26:20.000Z,56,108,0.000000460913015307,0.00132657,0.000441961327558181,0.000430815047040341,Success
1749824840,STATION3,42,2025-06-13T14:27:20.959Z,2025-06-13T14:29:00.000Z,2025-06-13T14:28:30.000Z,54,84,0.000000557000709858,0.001326534,0.000441961327558181,0.000430815047040341,Success
1749824951,STATION4,16,2025-06-13T14:29:11.993Z,2025-06-13T14:31:36.000Z,2025-06-13T14:30:41.000Z,65,120,0.000000499837812084,0.00132657,0.000441961327558181,0.000430815047040341,Success
1749825105,STATION5,43,2025-06-13T14:31:45.525Z,2025-06-13T14:33:36.000Z,2025-06-13T14:33:07.000Z,55,84,0.000000404994469326,0.00132657,0.000441961327558181,0.000430815047040341,Success
1749825226,STATION6,20,2025-06-13T14:33:46.862Z,2025-06-13T14:36:00.000Z,2025-06-13T14:35:12.000Z,60,108,0.000000443286520122,0.00137787,0.000441961327558181,0.000430815047040341,Success
1749825368,STATION7,20,2025-06-13T14:36:08.399Z,2025-06-13T14:38:00.000Z,2025-06-13T14:37:23.000Z,59,96,0.000000451733929416,0.001377834,0.000441961327558181,0.000430815047040341,Success
1749825490,STATION8,14,2025-06-13T14:38:10.069Z,2025-06-13T14:40:00.000Z,2025-06-13T14:39:28.000Z,64,96,0.000000388055745126,0.001377834,0.000441961327558181,0.000430815047040341,Success
1749825611,STATION9,12,2025-06-13T14:40:11.767Z,2025-06-13T14:42:12.000Z,2025-06-13T14:41:34.000Z,58,96,0.000000381487223595,0.00137787,0.000441961327558181,0.000408072122267325,Success
1749825742,STATION10,27,2025-06-13T14:42:22.034Z,2025-06-13T14:44:00.000Z,2025-06-13T14:43:34.000Z,58,84,0.000000410502870009,0.00137787,0.000441961327558181,0.000408072122267325,Success
1749825852,STATION11,16,2025-06-13T14:44:12.035Z,2025-06-13T14:47:00.000Z,2025-06-13T14:46:35.000Z,59,84,0.000000352439511417,0.001377798,0.000441961327558181,0.000408072122267325,Success
1749826030,STATION12,26,2025-06-13T14:47:10.671Z,2025-06-13T14:49:00.000Z,2025-06-13T14:48:35.000Z,59,84,0.000000412943972067,0.001377906,0.000441961327558181,0.000408072122267325,Success
